stationId,hierarchy
12.343.12,Hallingdalsvassdraget/Drammensvassdraget
12.344.1,Urula/Drammensvassdraget
12.368.1,Hallingdalsvassdraget/Drammensvassdraget
12.37.0,Ylja/Drammensvassdraget
12.377.24,Hallingdalsvassdraget/Drammensvassdraget
12.5.0,Drammensvassdraget
12.534.0,Drammensvassdraget
12.534.1,Drammensvassdraget
12.534.3,Drammensvassdraget
12.534.4,Drammensvassdraget
12.534.5,Drammensvassdraget
12.534.6,Drammensvassdraget
12.534.7,Drammensvassdraget
12.534.8,Drammensvassdraget
12.534.9,Drammensvassdraget
12.548.0,Hallingdalsvassdraget/Drammensvassdraget
12.549.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.550.0,Hallingdalsvassdraget/Drammensvassdraget
12.551.0,Hemsil/Hallingdalsvassdraget/Drammensvassdraget
12.553.0,Vestfosselva/Drammensvassdraget
12.554.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.555.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.582.0,Ylja/Drammensvassdraget
12.599.0,Vigga/Randselva/Drammensvassdraget
12.6.0,Åni/Hallingdalsvassdraget/Drammensvassdraget
12.600.0,Vigga/Randselva/Drammensvassdraget
12.601.1,Vigga/Randselva/Drammensvassdraget
12.601.2,Eggeelva/Vigga/Randselva/Drammensvassdraget
12.601.3,Vigga/Randselva/Drammensvassdraget
12.601.4,Vigga/Randselva/Drammensvassdraget
12.601.5,Vigga/Randselva/Drammensvassdraget
12.603.0,Simoa/Drammensvassdraget
12.607.0,Rukkedøla/Hallingdalsvassdraget/Drammensvassdraget
12.611.0,Hallingdalsvassdraget/Drammensvassdraget
12.613.0,Neselvi/Drammensvassdraget
12.614.0,Kvinda/Hallingdalsvassdraget/Drammensvassdraget
12.623.0,Hallingdalsvassdraget/Drammensvassdraget
12.625.0,Drammensvassdraget
12.626.0,Rysna/Drammensvassdraget
12.627.0,Drammensvassdraget
12.628.0,Drammensvassdraget
12.65.0,Drammensvassdraget
12.69.0,
12.70.0,Randselva/Drammensvassdraget
12.74.0,Velmundselva/Randselva/Drammensvassdraget
12.75.0,Drammensvassdraget
12.76.0,Drammensvassdraget
12.77.0,Drammensvassdraget
12.78.0,Drammensvassdraget
12.8.0,Dokka/Randselva/Drammensvassdraget
12.81.0,Drammensvassdraget
12.83.0,Drammensvassdraget
12.87.0,Neselvi/Drammensvassdraget
12.88.0,Neselvi/Drammensvassdraget
12.89.0,Neselvi/Drammensvassdraget
12.91.0,Neselvi/Drammensvassdraget
12.97.0,Hallingdalsvassdraget/Drammensvassdraget
12.99.0,Hallingdalsvassdraget/Drammensvassdraget
121.10.0,Orkla
121.18.0,Grana/Orkla
121.2.0,Byna/Orkla
121.20.0,Svorka/Orkla
121.22.0,Orkla
121.23.0,Orkla
121.25.0,Orkla
121.26.0,Orkla
121.27.0,Inna/Orkla
121.29.0,Gisna/Byna/Orkla
121.30.0,Sverja/Orkla
121.31.0,Falninga/Ya/Orkla
121.32.0,Ya/Orkla
121.39.0,Orkla
121.4.0,Skjenaldelva
121.57.0,Vorma/Orkla
121.59.0,Orkla
121.62.0,Orkla
121.64.0,Orkla
121.65.0,Orkla
121.66.0,Orkla
121.67.0,Orkla
122.11.0,Gaula
122.14.0,Bua/Gaula
122.16.0,Gaua/Gaula
122.17.0,Sokna/Gaula
122.19.0,Vigda
122.20.0,Holta/Gaula
122.28.0,Gaula
122.37.0,bekk fra Varmbu/Gaula
122.4.0,Lundesokna/Gaula
122.46.3,Sokna/Gaula
122.46.4,Sokna/Gaula
122.46.5,Sokna/Gaula
122.7.0,Lundesokna/Gaula
122.9.0,Gaula
123.10.0,Gullsetelva/Slindelva/Nidelvvassdraget
123.113.0,Nidelvvassdraget
123.142.0,Lødølja/Nidelvvassdraget
123.17.0,Nidelvvassdraget
123.18.0,Tya/Nidelvvassdraget
123.19.0,Drakstelva/Nidelvvassdraget
123.2.3,Nidelvvassdraget/Strindfjorden
123.20.0,Nidelvvassdraget
123.23.0,Nidelvvassdraget
123.26.0,Nidelvvassdraget
123.28.0,Vikelva
123.29.0,Vikelva
123.30.0,Vikelva
123.31.0,Garbergselva/Nidelvvassdraget
123.32.0,Lødølja/Nidelvvassdraget
123.33.0,Brandelva/Slindelva/Nidelvvassdraget
123.34.0,Nidelvvassdraget
123.36.0,Nidelvvassdraget
123.38.0,Nidelvvassdraget
123.50.0,Nidelvvassdraget
123.52.0,Nidelvvassdraget
123.56.0,Homla
123.57.2,Vikelva
123.59.0,Homla
123.73.0,Nidelvvassdraget
123.8.0,Slindelva/Nidelvvassdraget
123.86.0,Drakstelva/Nidelvvassdraget
123.93.0,Vikelva
123.95.0,Nidelvvassdraget/Strindfjorden
124.12.0,Stjørdalsvassdraget
124.13.0,Forra/Stjørdalsvassdraget
124.15.0,Gråelva/Stjørdalsvassdraget
124.16.0,Stjørdalsvassdraget
124.19.0,Forra/Stjørdalsvassdraget
124.2.0,Forra/Stjørdalsvassdraget
124.20.0,Stjørdalsvassdraget
124.21.0,Funna/Stjørdalsvassdraget
124.22.0,Stjørdalsvassdraget
124.27.0,Stjørdalsvassdraget
124.33.0,Stjørdalsvassdraget
124.34.0,Gråelva fra liavatnet
124.4.0,Funna/Stjørdalsvassdraget
124.49.0,Dalåa/Stjørdalsvassdraget
124.7.0,Kopperåa/Stjørdalsvassdraget
124.76.0,Dalåa/Stjørdalsvassdraget
125.1.0,Hopla
125.2.0,Hopla
125.4.0,Trondheimsfjorden øst: Frosta-Verdalsøra
126.2.0,Hottranelva
126.3.0,Levangervassdraget
127.11.0,Verdalsvassdraget
127.13.0,Inna/Verdalsvassdraget
127.14.0,Verdalsvassdraget
127.6.0,Verdalsvassdraget
128.14.0,Snåsavassdraget
128.5.0,Ogna/Snåsavassdraget
128.8.0,Snåsavassdraget
128.9.0,Figga
131.2.0,Mossa
131.5.0,Mossa
132.14.0,Skaudalsvassdraget
133.7.0,Nordelva
133.9.0,Nordelva
134.1.0,Teksdalselva
134.2.0,Teksdalselva
134.3.0,Teksdalselva
138.1.0,Årgårdsvassdraget
138.16.0,Bogna
138.3.0,Bogna
139.13.0,Bjøra/Namsen
139.15.0,Namsen
139.17.0,Namsen
139.20.0,Store bjørnhusdalelva/Namsen
139.25.0,Sanddøla/Namsen
139.26.0,Luru/Sanddøla/Namsen
139.28.0,Tunnsjøelva/Namsen
139.31.0,Namsen
139.32.0,Namsen
139.34.0,Namsen
139.35.0,Sanddøla/Namsen
139.36.0,Tunnsjøelva/Namsen
139.37.0,Namsen
139.4.0,Namsen
139.41.5,Namsen
139.5.0,Namsen
139.8.0,Namsen
139.9.0,Tunnsjøelva/Namsen
14.10.0,Gjermåa/Leira/Nitelva/Glommavassdraget
14.11.0,Randselva/Drammensvassdraget
140.2.0,Salsvatnvassdraget
142.1.0,Nordfolda/Kongsmoelva
142.2.0,Nordfolda/Kongsmoelva
144.1.0,Åbjøra
144.4.0,Åbjøra
144.5.0,Kalvfjellelva/Åbjøra
144.8.0,Ringvasselva/Åbjøra
148.2.0,Sausvatn-vassdraget
149.1.0,Sæterelva/Lakselva
15.104.0,Numedalslågen
15.108.0,Numedalslågen
15.109.0,Numedalslågen
15.110.0,Numedalslågen
15.111.0,Numedalslågen
15.115.0,Numedalslågen
15.118.2,Sleipa/Heinelvi/Numedalslågen
15.16.0,Vrengja/Numedalslågen
15.17.0,Vrengja/Numedalslågen
15.171.0,Numedalslågen
15.171.1,Numedalslågen
15.174.0,Istreelva
15.21.0,Jondalselva/Numedalslågen
15.215.0,Numedalslågen
15.23.0,Numedalslågen
15.24.0,Høymyrelva/Numedalslågen
15.26.0,Gjuva/Numedalslågen
15.27.0,Vrengja/Numedalslågen
15.28.0,Gjuva/Numedalslågen
15.29.0,Røungelvi/Numedalslågen
15.30.0,Gjuva/Numedalslågen
15.35.0,Sleipa/Heinelvi/Numedalslågen
15.40.0,Siljanvassdraget
15.47.0,Uvdalselvi/Numedalslågen
15.49.0,Halldalsåi/Rambergåi/Numedalslågen
15.53.0,Borgåi/Numedalslågen
15.56.0,Ølmøsåi/Uvdalselvi/Numedalslågen
15.61.0,Numedalslågen
15.79.0,Numedalslågen
15.8.0,Numedalslågen
15.81.0,Numedalslågen
15.9.0,Numedalslågen
150.1.0,Alsten og Tjøtta
151.11.0,Hundåla
151.15.0,Vefsna
151.21.0,Vefsna
151.28.0,Vefsna
151.29.0,Unkerelva/Vefsna
151.3.0,Hundåla
151.32.0,Vefsna
151.35.0,Vefsna
151.37.2,Svenningdalselva/Vefsna
151.55.1,Store fiplingdalselva/Vefsna
151.65.0,Svenningdalselva/Vefsna
151.70.0,Unkerelva/Vefsna
151.73.0,Vikdalselva
152.4.0,Fusta
153.1.0,Leirelva
155.12.0,Røssåga
155.15.0,Røssåga
155.16.0,Bjerka
155.17.0,Bjerka
155.27.0,Røssåga
155.28.0,Røssåga
155.29.0,Røssåga
155.3.0,Røssåga
155.31.0,Leirskardelva/Røssåga
155.4.0,Bjerka
