time,value,correction,quality
2010-09-15T11:00:00Z,0.5855549,0,0
2010-09-16T11:00:00Z,0.8465138,0,3
2010-09-17T11:00:00Z,0.7534666,0,3
2010-09-18T11:00:00Z,0.6864468,0,3
2010-09-19T11:00:00Z,0.6394964,0,3
2010-09-20T11:00:00Z,0.9829177,0,3
2010-09-21T11:00:00Z,4.686533,0,3
2010-09-22T11:00:00Z,1.982486,0,3
2010-09-23T11:00:00Z,1.538579,0,3
2010-09-24T11:00:00Z,2.029855,0,3
2010-09-25T11:00:00Z,4.318204,0,3
2010-09-26T11:00:00Z,2.792835,0,3
2010-09-27T11:00:00Z,2.125786,0,3
2010-09-28T11:00:00Z,1.772195,0,3
2010-09-29T11:00:00Z,1.561472,0,3
2010-09-30T11:00:00Z,1.411639,0,3
2010-10-01T11:00:00Z,1.286821,0,3
2010-10-02T11:00:00Z,1.185478,0,3
2010-10-03T11:00:00Z,1.258724,0,3
2010-10-04T11:00:00Z,4.534997,0,3
2010-10-05T11:00:00Z,3.164821,0,3
2010-10-06T11:00:00Z,2.629022,0,3
2010-10-07T11:00:00Z,6.672984,0,3
2010-10-08T11:00:00Z,3.944594,0,3
2010-10-09T11:00:00Z,3.041391,0,3
2010-10-10T11:00:00Z,2.5385489999999997,0,3
2010-10-11T11:00:00Z,2.212378,0,3
2010-10-12T11:00:00Z,1.973052,0,3
2010-10-13T11:00:00Z,1.7857370000000001,0,3
2010-10-14T11:00:00Z,1.620845,0,3
2010-10-15T11:00:00Z,1.449408,0,3
2010-10-16T11:00:00Z,1.311625,0,3
2010-10-17T11:00:00Z,1.195369,0,3
2010-10-18T11:00:00Z,1.473218,0,3
2010-10-19T11:00:00Z,2.3261789999999998,0,3
2010-10-20T11:00:00Z,2.856368,0,3
2010-10-21T11:00:00Z,2.183865,0,3
2010-10-22T11:00:00Z,1.970395,0,3
2010-10-23T11:00:00Z,1.832977,0,3
2010-10-24T11:00:00Z,1.676672,0,3
2010-10-25T11:00:00Z,1.5410439999999999,0,3
2010-10-26T11:00:00Z,1.406991,0,3
2010-10-27T11:00:00Z,1.6026479999999999,0,3
2010-10-28T11:00:00Z,2.618839,0,3
2010-10-29T11:00:00Z,2.542824,0,3
2010-10-30T11:00:00Z,3.056482,0,3
2010-10-31T11:00:00Z,2.817462,0,3
2010-11-01T11:00:00Z,2.316238,0,3
2010-11-02T11:00:00Z,2.925837,0,3
2010-11-03T11:00:00Z,5.494496,0,3
2010-11-04T11:00:00Z,3.50273,0,3
2010-11-05T11:00:00Z,2.748796,0,3
2010-11-06T11:00:00Z,2.349657,0,3
2010-11-07T11:00:00Z,2.062504,0,3
2010-11-08T11:00:00Z,1.83712,0,3
2010-11-09T11:00:00Z,1.794346,0,3
2010-11-10T11:00:00Z,1.546802,0,3
2010-11-11T11:00:00Z,1.340488,0,3
2010-11-12T11:00:00Z,1.417467,0,3
2010-11-13T11:00:00Z,1.353091,0,3
2010-11-14T11:00:00Z,1.395983,0,3
2010-11-15T11:00:00Z,1.392519,0,3
2010-11-16T11:00:00Z,1.254769,0,3
2010-11-17T11:00:00Z,1.1796039999999999,0,3
2010-11-18T11:00:00Z,1.088852,0,3
2010-11-19T11:00:00Z,0.9973748,0,3
2010-11-20T11:00:00Z,0.9094812,0,3
2010-11-21T11:00:00Z,0.9232237,0,3
2010-11-22T11:00:00Z,0.8742924,0,3
2010-11-23T11:00:00Z,0.7559134,0,3
2010-11-24T11:00:00Z,0.7144039999999999,0,3
2010-11-25T11:00:00Z,0.5937066999999999,0,3
2010-11-26T11:00:00Z,0.4612693,0,3
2010-11-27T11:00:00Z,0.4178088,0,3
2010-11-28T11:00:00Z,0.40286049999999995,0,3
2010-11-29T11:00:00Z,0.4185969,0,3
2010-11-30T11:00:00Z,0.3882661,0,3
2010-12-01T11:00:00Z,0.4080048,0,3
2010-12-02T11:00:00Z,0.5118688,0,3
2010-12-03T11:00:00Z,0.49820689999999995,0,3
2010-12-04T11:00:00Z,0.4515421,0,3
2010-12-05T11:00:00Z,0.39010259999999997,0,3
2010-12-06T11:00:00Z,0.3488962,0,3
2010-12-07T11:00:00Z,0.3192956,0,3
2010-12-08T11:00:00Z,0.2937442,0,3
2010-12-09T11:00:00Z,0.2682586,0,3
2010-12-10T11:00:00Z,0.2502817,0,3
2010-12-11T11:00:00Z,0.2399217,0,3
2010-12-12T11:00:00Z,0.2340696,0,3
2010-12-13T11:00:00Z,0.22801729999999998,0,3
2010-12-14T11:00:00Z,0.2156543,0,3
2010-12-15T11:00:00Z,0.197411,0,3
2010-12-16T11:00:00Z,0.19623459999999998,0,3
2010-12-17T11:00:00Z,0.1847314,0,3
2010-12-18T11:00:00Z,0.17930069999999998,0,3
2010-12-19T11:00:00Z,0.1740246,0,3
2010-12-20T11:00:00Z,0.1683197,0,3
2010-12-21T11:00:00Z,0.161234,0,3
2010-12-22T11:00:00Z,0.1537087,0,3
2010-12-23T11:00:00Z,0.1461095,0,3
2010-12-24T11:00:00Z,0.1352206,0,3
2010-12-25T11:00:00Z,0.12317869999999999,0,3
2010-12-26T11:00:00Z,0.1158191,0,3
2010-12-27T11:00:00Z,0.1091887,0,3
2010-12-28T11:00:00Z,0.1026366,0,3
2010-12-29T11:00:00Z,0.0950814,0,3
2010-12-30T11:00:00Z,0.09186527,0,3
2010-12-31T11:00:00Z,0.08805698,0,3
2011-01-01T11:00:00Z,0.08645703,0,3
2011-01-02T11:00:00Z,0.08237418,0,3
2011-01-03T11:00:00Z,0.07894757000000001,0,3
2011-01-04T11:00:00Z,0.07719743,0,3
2011-01-05T11:00:00Z,0.07877151,0,3
2011-01-06T11:00:00Z,0.07859586,0,3
2011-01-07T11:00:00Z,0.07462029,0,3
2011-01-08T11:00:00Z,0.07179602,0,3
2011-01-09T11:00:00Z,0.07664898,0,3
2011-01-10T11:00:00Z,0.07414005,0,3
2011-01-11T11:00:00Z,0.07624581,0,3
2011-01-12T11:00:00Z,0.07251664000000001,0,3
2011-01-13T11:00:00Z,0.06890845,0,3
2011-01-14T11:00:00Z,0.06708551,0,3
2011-01-15T11:00:00Z,0.06497853,0,3
2011-01-16T11:00:00Z,0.07198959,0,3
2011-01-17T11:00:00Z,0.09320165,0,3
2011-01-18T11:00:00Z,0.08780476,0,3
2011-01-19T11:00:00Z,0.07722676,0,3
2011-01-20T11:00:00Z,0.07069701,0,3
2011-01-21T11:00:00Z,0.06866679,0,3
2011-01-22T11:00:00Z,0.06743963,0,3
2011-01-23T11:00:00Z,0.06521132,0,3
2011-01-24T11:00:00Z,0.0636682,0,3
2011-01-25T11:00:00Z,0.06308284,0,3
2011-01-26T11:00:00Z,0.06232486,0,3
2011-01-27T11:00:00Z,0.06255139,0,3
2011-01-28T11:00:00Z,0.061397999999999994,0,3
2011-01-29T11:00:00Z,0.057303599999999996,0,3
2011-01-30T11:00:00Z,0.05321039,0,3
2011-01-31T11:00:00Z,0.04957236,0,3
2011-02-01T11:00:00Z,0.04689138,0,3
2011-02-02T11:00:00Z,0.043188910000000004,0,3
2011-02-03T11:00:00Z,0.04771091,0,3
2011-02-04T11:00:00Z,0.046974880000000004,0,3
2011-02-05T11:00:00Z,0.04517793,0,3
2011-02-06T11:00:00Z,0.04205081,0,3
2011-02-07T11:00:00Z,0.04074096,0,3
2011-02-08T11:00:00Z,0.045874820000000004,0,3
2011-02-09T11:00:00Z,0.0451987,0,3
2011-02-10T11:00:00Z,0.04720518,0,3
2011-02-11T11:00:00Z,0.051949550000000004,0,3
2011-02-12T11:00:00Z,0.05321000000000001,0,3
2011-02-13T11:00:00Z,0.05602656,0,3
2011-02-14T11:00:00Z,0.05593258,0,3
2011-02-15T11:00:00Z,0.05539489,0,3
2011-02-16T11:00:00Z,0.05513901,0,3
2011-02-17T11:00:00Z,0.05449096,0,3
2011-02-18T11:00:00Z,0.05539489,0,3
2011-02-19T11:00:00Z,0.05619113,0,3
2011-02-20T11:00:00Z,0.05758965,0,3
2011-02-21T11:00:00Z,0.05876888,0,3
2011-02-22T11:00:00Z,0.06119854,0,3
2011-02-23T11:00:00Z,0.06267795,0,3
2011-02-24T11:00:00Z,0.06492688,0,3
2011-02-25T11:00:00Z,0.06823844,0,3
2011-02-26T11:00:00Z,0.07391486,0,3
2011-02-27T11:00:00Z,0.08075369,0,3
2011-02-28T11:00:00Z,0.08267672,0,3
2011-03-01T11:00:00Z,0.08374082000000001,0,3
2011-03-02T11:00:00Z,0.08432279999999999,0,3
2011-03-03T11:00:00Z,0.08720749,0,3
2011-03-04T11:00:00Z,0.0892299,0,3
2011-03-05T11:00:00Z,0.09102398,0,3
2011-03-06T11:00:00Z,0.09102417,0,3
2011-03-07T11:00:00Z,0.09102417,0,3
2011-03-08T11:00:00Z,0.09300518,0,3
2011-03-09T11:00:00Z,0.09850536,0,3
2011-03-10T11:00:00Z,0.1544372,0,3
2011-03-11T11:00:00Z,0.20362919999999998,0,3
2011-03-12T11:00:00Z,0.22619799999999998,0,3
2011-03-13T11:00:00Z,0.2430356,0,3
2011-03-14T11:00:00Z,0.26151,0,3
2011-03-15T11:00:00Z,0.2739244,0,3
2011-03-16T11:00:00Z,0.2779892,0,3
2011-03-17T11:00:00Z,0.28202669999999996,0,3
2011-03-18T11:00:00Z,0.2848757,0,3
2011-03-19T11:00:00Z,0.300741,0,3
2011-03-20T11:00:00Z,0.3178313,0,3
2011-03-21T11:00:00Z,0.4299916,0,3
2011-03-22T11:00:00Z,1.598014,0,3
2011-03-23T11:00:00Z,4.282408,0,3
2011-03-24T11:00:00Z,4.069003,0,3
2011-03-25T11:00:00Z,2.7245619999999997,0,3
2011-03-26T11:00:00Z,1.7692679999999998,0,3
2011-03-27T11:00:00Z,1.420389,0,3
2011-03-28T11:00:00Z,1.266296,0,3
2011-03-29T11:00:00Z,1.2556669999999999,0,3
2011-03-30T11:00:00Z,1.2536909999999999,0,3
2011-03-31T11:00:00Z,1.176328,0,3
2011-04-01T11:00:00Z,1.141044,0,3
2011-04-02T11:00:00Z,1.900758,0,3
2011-04-03T11:00:00Z,10.64541,0,3
2011-04-04T11:00:00Z,9.928104,0,3
2011-04-05T11:00:00Z,13.64178,0,3
2011-04-06T11:00:00Z,17.36418,0,3
2011-04-07T11:00:00Z,22.62473,0,3
2011-04-08T11:00:00Z,20.51664,0,3
2011-04-09T11:00:00Z,19.81231,0,3
2011-04-10T11:00:00Z,16.36784,0,3
2011-04-11T11:00:00Z,16.5586,0,3
2011-04-12T11:00:00Z,15.9688,0,3
2011-04-13T11:00:00Z,21.83394,0,3
2011-04-14T11:00:00Z,14.73343,0,3
